Language,SVG_Repo_Link,Readability,Writability,Reliability,Maintainability,Security,Compatibility,Standards_Compliance,Community_Support
Python,https://www.svgrepo.com/svg/354431/python,9,9,8,8,8,9,9,10
JavaScript,https://www.svgrepo.com/svg/354272/javascript,8,8,7,7,6,8,8,10
Java,https://www.svgrepo.com/svg/448221/java,7,8,8,9,7,9,9,10
C++,https://www.svgrepo.com/svg/374070/c-plus-plus,6,7,9,7,7,8,8,9
C#,https://www.svgrepo.com/svg/306998/c-sharp,7,8,8,8,7,8,9,9
Go,https://www.svgrepo.com/svg/509331/go,8,7,8,8,7,8,7,8
Rust,https://www.svgrepo.com/svg/355832/rust,8,7,9,8,9,7,9,8
Kotlin,https://www.svgrepo.com/svg/306995/kotlin,8,8,8,8,7,8,8,7
Typescript,https://www.svgrepo.com/svg/303600/typescript,8,8,8,8,7,9,8,8
Swift,https://www.svgrepo.com/svg/249748/swift,8,8,8,7,8,8,9,9
